,Player,Pos,Wt,40yd,Vertical,Broad Jump,3Cone,Shuttle,5AV,Pick,Height (cm)
156,Daven Holly,CB,192.0,4.39,39.0,115.0,7.16,4.08,30.0,215.0,152.4
165,Marlin Jackson,CB,198.0,4.52,36.0,125.0,6.95,3.96,14.0,29.0,185.42000000000002
241,Karl Paymah,CB,204.0,4.35,41.5,125.0,7.09,3.91,7.0,76.0,182.88
245,Antonio Perkins,CB,190.0,4.49,40.0,126.0,7.17,4.07,0.0,103.0,154.94
271,Carlos Rogers,CB,196.0,4.44,40.5,126.0,6.48,3.82,25.0,9.0,182.88
275,Stanford Routt,CB,193.0,4.27,36.5,129.0,6.63,3.9,11.0,38.0,185.42000000000002
293,Scott Starks,CB,172.0,4.37,43.0,137.0,6.99,3.9,4.0,87.0,172.72
329,Darrent Williams,CB,176.0,4.3,39.0,124.0,6.97,3.96,20.0,56.0,175.26
25,Will Blackmon,CB,198.0,4.47,41.0,133.0,6.67,4.23,6.0,115.0,182.88
111,Tye Hill,CB,185.0,4.34,41.0,129.0,6.63,4.01,10.0,15.0,152.4
139,Johnathan Joseph,CB,193.0,4.31,37.0,123.0,6.92,4.23,26.0,24.0,154.94
169,Danieal Manning,CB,202.0,4.48,39.0,123.0,7.23,4.07,26.0,42.0,154.94
171,Richard Marshall,CB,189.0,4.42,37.0,129.0,6.65,4.16,26.0,58.0,154.94
175,Derrick Martin,CB,202.0,4.5,40.0,127.0,6.72,3.95,5.0,208.0,152.4
28,Fred Bennett,CB,196.0,4.46,38.5,125.0,6.67,4.3,8.0,123.0,185.42000000000002
44,Tarell Brown,CB,190.0,4.45,33.5,111.0,7.0,4.37,15.0,147.0,154.94
64,Michael Coe,CB,190.0,4.53,35.0,122.0,6.78,4.31,1.0,173.0,185.42000000000002
113,Leon Hall,CB,193.0,4.39,37.5,125.0,6.5,4.07,39.0,18.0,154.94
133,Chris Houston,CB,185.0,4.32,36.0,122.0,6.94,4.12,28.0,41.0,152.4
134,Dante Hughes,CB,190.0,4.56,28.5,114.0,7.28,4.43,4.0,95.0,152.4
138,David Irons,CB,190.0,4.44,29.5,111.0,7.18,4.3,2.0,194.0,152.4
175,Trumaine McBride,CB,185.0,4.57,34.5,122.0,6.96,4.32,7.0,221.0,175.26
176,Marcus McCauley,CB,203.0,4.39,36.0,129.0,6.61,4.17,15.0,72.0,185.42000000000002
180,Brandon McDonald,CB,181.0,4.58,33.0,118.0,7.44,4.76,14.0,140.0,154.94
