,Player,Pos,Wt,40yd,Vertical,Broad Jump,3Cone,Shuttle,5AV,Pick,Height (cm)
2,Gaines Adams,DE,258.0,4.64,35.0,119.0,7.17,4.36,21.0,4.0,195.58
40,Stewart Bradley,OLB,254.0,4.72,35.5,112.0,7.29,4.17,20.0,87.0,193.04
71,Tim Crowder,DE,272.0,4.69,30.5,111.0,7.28,4.32,11.0,56.0,193.04
193,Quentin Moses,DE,261.0,4.82,32.0,115.0,7.38,4.53,10.0,65.0,195.58
241,Brian Robison,DE,259.0,4.67,40.5,121.0,6.89,4.26,14.0,102.0,190.5
274,Anthony Spencer,DE,261.0,4.7,32.5,112.0,7.14,4.43,26.0,26.0,190.5
329,C.J. Ah You,DE,274.0,4.7,36.5,108.0,7.06,4.4,8.0,239.0,193.04
10,Cliff Avril,OLB,253.0,4.51,32.5,117.0,6.9,4.51,28.0,92.0,190.5
76,Bruce Davis,OLB,252.0,4.78,29.0,109.0,7.34,4.47,0.0,88.0,190.5
93,Chris Ellis,DE,263.0,4.71,27.0,109.0,7.64,4.65,4.0,72.0,193.04
112,Vernon Gholston,DE,266.0,4.65,35.5,125.0,7.12,4.4,16.0,6.0,190.5
125,Quentin Groves,OLB,259.0,4.53,29.5,120.0,7.31,4.42,18.0,52.0,190.5
136,Derrick Harvey,DE,271.0,4.84,28.5,113.0,7.27,4.36,30.0,8.0,195.58
157,Kenny Iwebema,DE,274.0,4.91,29.0,109.0,7.62,4.75,4.0,116.0,193.04
158,Lawrence Jackson,DE,271.0,4.82,31.0,108.0,7.08,4.4,15.0,28.0,193.04
171,Jason Jones,DE,273.0,4.76,25.5,123.0,7.29,4.32,19.0,54.0,195.58
193,Chris Long,DE,272.0,4.75,34.0,124.0,7.02,4.21,34.0,2.0,190.5
309,Jeremy Thompson,DE,264.0,4.75,32.0,117.0,6.97,4.23,4.0,102.0,193.04
4,Robert Ayers,DE,272.0,4.77,29.5,102.0,7.56,4.51,16.0,18.0,190.5
8,Connor Barwin,OLB,256.0,4.47,40.5,128.0,6.87,4.18,26.0,46.0,193.04
30,Everette Brown,DE,256.0,4.65,31.5,114.0,7.55,4.53,5.0,43.0,185.42000000000002
38,Victor Butler,OLB,248.0,4.72,33.0,113.0,7.21,4.4,6.0,110.0,187.96
66,Aaron Curry,OLB,254.0,4.52,37.0,124.0,7.15,4.51,23.0,4.0,187.96
69,Will Davis,DE,261.0,4.84,33.0,115.0,7.38,4.45,6.0,204.0,187.96
82,Larry English,OLB,255.0,4.74,36.0,107.0,7.26,4.38,7.0,16.0,187.96
154,Michael Johnson,DE,266.0,4.61,38.5,128.0,7.42,4.37,30.0,70.0,200.66
170,Paul Kruger,DE,263.0,4.79,32.5,108.0,7.52,4.47,16.0,57.0,193.04
196,Aaron Maybin,DE,249.0,4.64,38.0,124.0,7.52,4.38,10.0,11.0,193.04
217,Kyle Moore,DE,272.0,4.76,30.5,105.0,7.4,4.47,16.0,117.0,195.58
272,Matt Shaughnessy,DE,266.0,4.86,30.5,112.0,7.68,4.88,22.0,71.0,195.58
275,Lawrence Sidbury,DE,266.0,4.53,35.0,120.0,7.46,4.43,5.0,125.0,187.96
276,Clint Sintim,OLB,256.0,4.75,34.5,119.0,7.37,4.4,4.0,45.0,190.5
308,David Veikune,DE,257.0,4.75,33.0,110.0,7.2,4.46,3.0,52.0,187.96
319,Brandon Williams,DE,261.0,4.78,33.0,112.0,7.23,4.49,0.0,120.0,187.96
332,Jarius Wynn,DE,275.0,4.94,31.5,107.0,7.4,4.58,7.0,182.0,190.5
132,Jerry Hughes,OLB,255.0,4.65,34.5,118.0,6.99,4.15,19.0,31.0,187.96
155,Sergio Kindle,OLB,250.0,4.65,36.5,118.0,7.26,4.53,0.0,43.0,190.5
156,Jammie Kirlew,DE,260.0,5.05,33.0,111.0,7.5,4.74,0.0,232.0,185.42000000000002
197,Koa Misi,OLB,251.0,4.75,38.0,127.0,7.07,4.27,29.0,40.0,190.5
204,Derrick Morgan,DE,266.0,4.77,34.0,112.0,7.12,4.43,24.0,16.0,190.5
227,Jason Pierre-Paul,DE,270.0,4.71,30.5,115.0,7.18,4.67,41.0,15.0,195.58
249,Ricky Sapp,OLB,252.0,4.65,34.0,114.0,7.29,4.41,2.0,134.0,193.04
253,George Selvie,DE,252.0,4.93,30.5,109.0,7.48,4.63,5.0,226.0,193.04
256,Cameron Sheffield,OLB,257.0,4.92,33.0,115.0,7.23,4.53,2.0,142.0,187.96
275,Daniel Te'o-Nesheim,DE,263.0,4.73,37.0,121.0,6.91,4.18,24.0,86.0,190.5
288,Adrian Tracy,OLB,248.0,4.76,35.5,110.0,7.08,4.34,2.0,184.0,190.5
289,Nate Triplett,OLB,250.0,4.7,33.0,115.0,7.02,4.37,0.0,167.0,190.5
327,Jason Worilds,OLB,254.0,4.65,38.0,114.0,6.95,4.29,23.0,52.0,185.42000000000002
331,Willie Young,DE,251.0,4.88,38.0,118.0,7.24,4.56,13.0,213.0,195.58
0,Sam Acho,OLB,262.0,4.67,33.5,112.0,6.69,4.32,24.0,103.0,187.96
12,Akeem Ayers,OLB,254.0,4.81,31.0,116.0,7.49,4.28,25.0,39.0,187.96
20,Jeremy Beal,DE,262.0,5.14,28.5,106.0,7.19,4.46,0.0,247.0,187.96
49,Chris Carter,OLB,248.0,4.58,36.0,114.0,6.88,4.34,4.0,162.0,185.42000000000002
83,Ricky Elmore,DE,255.0,4.88,31.5,106.0,7.25,4.32,0.0,197.0,193.04
133,Justin Houston,OLB,270.0,4.62,36.5,125.0,6.95,4.37,49.0,70.0,190.5
165,Ryan Kerrigan,DE,267.0,4.67,33.5,122.0,7.18,4.39,39.0,16.0,193.04
189,Cliff Matthews,DE,257.0,4.81,32.0,112.0,7.21,4.37,6.0,230.0,190.5
199,Bruce Miller,OLB,254.0,4.81,31.0,113.0,7.05,4.34,7.0,211.0,185.42000000000002
200,Dontay Moch,OLB,248.0,4.4,42.0,128.0,7.09,4.38,0.0,66.0,185.42000000000002
218,Cheta Ozougwu,DE,247.0,4.84,34.5,119.0,7.06,4.31,3.0,254.0,187.96
234,Robert Quinn,DE,265.0,4.62,34.0,116.0,7.13,4.4,41.0,14.0,193.04
236,D'Aundre Reed,DE,261.0,4.84,35.5,119.0,7.24,4.32,0.0,215.0,193.04
237,Brooks Reed,OLB,263.0,4.65,30.5,113.0,7.11,4.28,28.0,42.0,187.96
273,Aldon Smith,DE,263.0,4.74,34.0,118.0,7.19,4.5,315533.0,7.0,193.04
313,Markus White,DE,266.0,4.86,32.5,117.0,7.25,4.51,0.0,224.0,190.5
20,Jake Bequette,DE,274.0,4.75,34.0,113.0,6.9,4.07,0.0,90.0,195.58
32,Andre Branch,DE,259.0,4.67,32.5,120.0,7.19,4.25,15.0,38.0,193.04
62,Tyrone Crawford,DE,275.0,4.82,33.0,113.0,7.09,4.44,28.0,81.0,193.04
63,Jack Crawford,DE,274.0,4.74,33.0,116.0,7.15,4.25,9.0,158.0,195.58
69,Vinny Curry,DE,266.0,4.87,32.0,110.0,6.9,4.4,8.0,59.0,190.5
137,Melvin Ingram,OLB,264.0,4.69,34.5,109.0,6.83,4.18,22.0,18.0,185.42000000000002
155,Cam Johnson,DE,268.0,4.75,35.0,105.0,7.2,4.38,5.0,237.0,190.5
160,Chandler Jones,DE,266.0,4.77,35.0,120.0,7.07,4.38,41.0,21.0,195.58
176,Ronnell Lewis,OLB,253.0,4.65,31.0,112.0,7.09,4.4,2.0,125.0,187.96
191,Jonathan Massaquoi,OLB,264.0,4.81,33.5,120.0,7.38,4.53,12.0,164.0,187.96
197,Shea McClellin,OLB,260.0,4.62,31.5,118.0,7.07,4.33,18.0,19.0,190.5
206,Whitney Mercilus,DE,261.0,4.68,32.0,118.0,7.17,4.53,37.0,26.0,193.04
231,Nick Perry,DE,271.0,4.55,38.5,124.0,7.25,4.66,16.0,28.0,190.5
277,Scott Solomon,DE,262.0,4.88,35.0,124.0,7.17,4.25,3.0,211.0,190.5
304,Olivier Vernon,DE,261.0,4.73,34.5,122.0,7.39,4.5,38.0,72.0,187.96
317,Kyle Wilber,OLB,249.0,4.73,33.5,117.0,7.11,4.31,13.0,113.0,193.04
9,Ziggy Ansah,DE,271.0,4.56,34.5,118.0,7.11,4.26,39.0,5.0,195.58
24,David Bass,DE,262.0,4.84,30.5,111.0,7.07,4.33,10.0,233.0,193.04
42,Armonty Bryant,DE,263.0,4.86,31.5,118.0,7.32,5.0,10.0,217.0,193.04
43,Michael Buchanan,DE,255.0,4.78,33.0,113.0,6.91,4.44,4.0,226.0,195.58
52,Jamie Collins,OLB,250.0,4.64,41.5,139.0,7.1,4.32,39.0,52.0,190.5
162,Joe Kruger,DE,269.0,4.83,34.0,117.0,7.17,4.46,0.0,212.0,198.12
167,Corey Lemonier,DE,255.0,4.6,33.0,119.0,7.14,4.4,5.0,88.0,190.5
207,Sam Montgomery,DE,262.0,4.81,34.5,114.0,7.18,4.51,0.0,95.0,190.5
223,Ty Powell,OLB,249.0,4.64,37.0,122.0,6.98,4.4,2.0,231.0,187.96
279,Devin Taylor,DE,266.0,4.72,35.0,128.0,6.89,4.3,13.0,132.0,200.66
