,Player,Pos,Wt,40yd,Vertical,Broad Jump,3Cone,Shuttle,5AV,Pick,Height (cm)
156,Ryan Kalil,C,299.0,4.96,26.0,104.0,7.5,4.34,36.0,59.0,190.5
159,Adam Koets,OT,298.0,5.08,32.0,106.0,7.44,4.47,4.0,189.0,195.58
171,James Marten,OT,309.0,5.08,30.5,100.0,7.68,4.54,0.0,67.0,200.66
249,Dan Santucci,OG,301.0,5.13,29.0,102.0,7.47,4.74,0.0,230.0,190.5
251,Samson Satele,C,300.0,5.24,33.0,101.0,7.47,4.29,32.0,60.0,190.5
293,Joe Thomas,OT,311.0,4.92,33.0,110.0,7.95,4.88,55.0,3.0,200.66
4,Branden Albert,OG,309.0,5.17,26.0,111.0,7.97,4.78,31.0,15.0,198.12
17,Demetress Bell,OT,303.0,5.18,26.5,109.0,7.65,4.65,38.0,219.0,195.58
45,Duane Brown,OT,315.0,5.07,27.5,105.0,7.58,4.52,56.0,26.0,193.04
61,Gosder Cherilus,OT,314.0,5.14,23.0,102.0,7.6,4.82,37.0,17.0,198.12
65,Corey Clark,OT,315.0,5.28,23.0,106.0,7.47,4.68,0.0,234.0,195.58
67,Anthony Collins,OT,317.0,5.54,22.5,97.0,7.71,4.87,9.0,112.0,195.58
70,Oniel Cousins,OT,308.0,5.11,24.5,107.0,7.9,4.8,5.0,99.0,193.04
113,Breno Giacomini,OT,303.0,5.2,22.5,108.0,7.56,4.63,25.0,150.0,200.66
114,Mike Gibson,OG,305.0,5.27,27.0,110.0,7.21,4.64,4.0,184.0,190.5
121,John Greco,OT,305.0,5.29,26.0,108.0,8.03,4.82,7.0,65.0,195.58
128,David Hale,OT,314.0,5.27,26.0,100.0,7.69,4.75,2.0,133.0,198.12
173,Steve Justice,C,293.0,5.24,21.0,98.0,7.4,4.58,2.0,201.0,190.5
189,Kory Lichtensteiger,C,298.0,5.25,23.0,104.0,7.6,4.56,23.0,108.0,187.96
192,Jake Long,OT,313.0,5.22,27.5,102.0,7.44,4.73,56.0,1.0,200.66
206,Mike McGlynn,OG,311.0,5.38,23.0,101.0,7.58,4.72,24.0,109.0,193.04
223,Shawn Murphy,OG,320.0,5.38,21.5,100.0,7.74,4.89,0.0,110.0,193.04
225,Carl Nicks,OT,341.0,5.22,25.5,109.0,7.91,4.68,50.0,164.0,195.58
240,Mike Pollak,C,301.0,4.99,25.0,110.0,7.49,4.47,21.0,59.0,190.5
246,Chilo Rachal,OG,315.0,5.16,25.5,108.0,8.01,5.14,20.0,39.0,195.58
251,Jamey Richard,C,295.0,5.22,26.5,107.0,7.58,4.69,10.0,236.0,195.58
252,Barry Richardson,OT,320.0,5.45,25.5,100.0,8.0,5.16,23.0,170.0,200.66
255,Chad Rinehart,OG,320.0,5.42,28.5,106.0,7.84,4.56,16.0,96.0,195.58
274,Geoff Schwartz,OT,332.0,5.36,20.5,98.0,7.9,4.79,13.0,241.0,198.12
297,John Sullivan,C,301.0,5.35,30.0,103.0,7.62,4.55,28.0,187.0,190.5
306,Donald Thomas,OG,303.0,5.0,24.5,100.0,7.45,4.78,13.0,195.0,190.5
316,Cody Wallace,C,296.0,5.3,30.5,113.0,7.45,4.55,13.0,107.0,193.04
324,Chris Williams,OT,315.0,5.13,25.0,103.0,7.95,4.85,18.0,14.0,198.12
335,Jeremy Zuttah,OT,303.0,4.99,26.5,107.0,7.59,4.54,27.0,83.0,190.5
9,Will Beatty,OT,307.0,5.06,33.5,107.0,7.62,4.77,26.0,60.0,198.12
23,Robert Brewster,OT,325.0,5.29,30.5,98.0,7.68,4.75,0.0,75.0,193.04
27,Eben Britton,OT,309.0,5.14,28.5,100.0,7.87,4.91,18.0,39.0,198.12
44,Antoine Caldwell,C,309.0,5.24,28.0,111.0,7.96,5.04,22.0,77.0,190.5
169,Troy Kropog,OT,309.0,5.3,30.0,100.0,7.65,4.84,0.0,135.0,195.58
178,Phil Loadholt,OT,332.0,5.45,29.0,95.0,8.18,5.06,43.0,54.0,203.2
180,Jonathan Luigs,C,301.0,5.14,31.0,99.0,7.69,4.79,2.0,106.0,193.04
208,Jamon Meredith,OT,304.0,4.99,28.0,105.0,8.01,4.82,2.0,162.0,195.58
215,Eugene Monroe,OT,309.0,5.18,28.5,110.0,7.86,4.78,35.0,8.0,195.58
225,Lydon Murtha,OT,306.0,4.82,35.0,110.0,7.06,4.34,4.0,228.0,200.66
233,Michael Oher,OT,309.0,5.16,30.5,103.0,7.81,4.6,42.0,23.0,193.04
234,Seth Olsen,OG,306.0,5.23,24.5,90.0,7.59,4.7,9.0,132.0,195.58
259,Garrett Reynolds,OT,309.0,5.32,22.0,94.0,7.87,4.88,15.0,156.0,203.2
274,A.Q. Shipley,C,304.0,5.19,31.0,100.0,7.46,4.4,20.0,226.0,185.42000000000002
277,Matt Slauson,OG,316.0,5.26,34.0,110.0,7.86,4.86,25.0,193.0,195.58
281,Jason Smith,OT,309.0,5.09,24.0,96.0,7.53,4.69,24.0,2.0,195.58
302,Max Unger,C,309.0,5.26,24.5,93.0,7.39,4.5,36.0,49.0,195.58
303,Kraig Urbik,OG,328.0,5.25,24.0,94.0,7.87,4.89,23.0,79.0,195.58
328,Eric Wood,C,310.0,5.19,30.5,99.0,7.56,4.51,26.0,28.0,193.04
39,Bryan Bulaga,OT,314.0,5.2,27.5,98.0,7.7,4.75,40.0,23.0,195.58
47,Bruce Campbell,OT,314.0,4.75,32.0,101.0,7.58,4.69,3.0,106.0,198.12
49,Selvish Capers,OT,308.0,5.11,30.5,106.0,7.68,4.68,0.0,231.0,195.58
69,Erik Cook,C,318.0,5.55,25.0,94.0,8.24,4.99,2.0,229.0,198.12
77,Anthony Davis,OT,323.0,5.36,33.0,99.0,8.17,4.97,39.0,11.0,195.58
80,Chris DeGeare,OG,325.0,5.12,32.5,103.0,7.84,4.9,6.0,161.0,193.04
88,Vladimir Ducasse,OT,332.0,5.21,26.0,91.0,8.25,4.97,7.0,61.0,193.04
125,Joe Hawley,C,297.0,5.21,26.0,105.0,7.5,4.73,15.0,117.0,190.5
135,Mike Iupati,OG,331.0,5.24,27.5,92.0,7.85,4.93,42.0,17.0,195.58
142,John Jerry,OT,328.0,5.15,27.5,101.0,7.93,4.69,27.0,73.0,195.58
144,Mike Johnson,OG,312.0,5.37,25.0,91.0,8.15,5.01,4.0,98.0,195.58
161,Ted Larsen,C,304.0,5.19,24.0,96.0,7.81,4.66,22.0,205.0,190.5
162,Shawn Lauvao,OG,315.0,5.22,26.5,101.0,7.56,4.51,21.0,92.0,190.5
209,Marshall Newhouse,OG,319.0,4.99,25.0,97.0,7.4,4.6,34.0,169.0,193.04
214,Eric Olsen,C,306.0,5.25,29.5,93.0,7.5,4.82,3.0,183.0,193.04
247,Rodger Saffold,OT,316.0,5.21,29.5,113.0,7.42,4.67,28.0,33.0,195.58
252,Chris Scott,OG,319.0,5.52,22.5,90.0,8.24,5.03,6.0,151.0,195.58
262,Shelley Smith,OG,300.0,5.03,34.0,112.0,7.67,4.71,19.0,187.0,190.5
277,Matt Tennant,C,300.0,5.15,25.0,98.0,7.6,4.62,8.0,158.0,195.58
293,Jared Veldheer,OT,312.0,5.06,33.5,109.0,7.4,4.51,32.0,69.0,203.2
297,J.D. Walton,C,300.0,5.19,27.0,101.0,7.6,4.69,22.0,80.0,190.5
307,Thomas Welch,OT,307.0,5.42,29.0,105.0,7.67,4.8,3.0,208.0,198.12
317,Trent Williams,OT,315.0,4.81,34.5,113.0,7.64,4.63,45.0,4.0,195.58
330,Sam Young,OT,316.0,5.2,29.5,104.0,7.73,4.87,4.0,179.0,203.2
9,David Arkin,OG,300.0,5.31,29.0,103.0,7.6,4.63,0.0,110.0,195.58
18,Joe Barksdale,OT,325.0,5.31,29.0,103.0,8.27,4.75,24.0,92.0,195.58
25,Clint Boling,OG,308.0,5.28,31.0,102.0,7.66,4.64,29.0,101.0,195.58
30,James Brewer,OT,323.0,5.21,26.0,100.0,7.84,4.81,8.0,117.0,198.12
43,Marcus Cannon,OT,358.0,5.26,30.5,105.0,8.07,4.97,16.0,138.0,195.58
53,Anthony Castonzo,OT,311.0,5.21,29.5,105.0,7.25,4.4,40.0,22.0,200.66
93,Brandon Fusco,C,306.0,5.18,28.5,108.0,7.29,4.43,22.0,172.0,193.04
110,Chris Hairston,OT,326.0,5.38,29.0,96.0,7.9,4.7,19.0,122.0,198.12
134,Rodney Hudson,C,299.0,5.27,25.5,95.0,8.03,4.96,22.0,55.0,187.96
144,Andrew Jackson,OG,299.0,5.27,28.0,98.0,7.55,4.65,0.0,210.0,195.58
161,Jason Kelce,C,280.0,4.89,30.5,110.0,7.22,4.14,29.0,191.0,190.5
166,Daniel Kilgore,OG,308.0,5.28,32.5,105.0,7.59,4.68,6.0,163.0,190.5
183,DeMarcus Love,OT,315.0,5.18,26.5,97.0,7.84,4.84,0.0,168.0,193.04
201,John Moffitt,OG,319.0,5.51,30.5,102.0,7.79,4.53,18.0,75.0,193.04
214,Derek Newton,OT,311.0,5.0,25.5,100.0,7.76,5.0,28.0,214.0,195.58
223,Mike Person,OG,299.0,5.07,28.0,108.0,7.44,4.5,9.0,239.0,193.04
228,Jason Pinkston,OT,317.0,5.39,26.5,98.0,7.88,4.91,16.0,150.0,190.5
231,Mike Pouncey,OG,303.0,5.12,25.0,96.0,7.66,4.64,35.0,15.0,195.58
235,Will Rackley,OG,309.0,5.39,23.5,99.0,7.91,4.94,16.0,76.0,190.5
238,Jah Reid,OT,327.0,5.32,29.5,111.0,7.73,4.65,10.0,85.0,200.66
260,Steve Schilling,OG,308.0,5.18,25.5,98.0,7.73,4.62,10.0,201.0,193.04
268,Derek Sherrod,OT,321.0,5.18,28.0,97.0,7.43,4.63,6.0,32.0,195.58
282,Nate Solder,OT,319.0,4.96,32.0,110.0,7.44,4.34,44.0,17.0,203.2
306,Julian Vandervelde,OG,301.0,5.12,31.0,104.0,7.46,4.59,1.0,161.0,187.96
308,Danny Watkins,OG,310.0,5.36,26.0,92.0,7.61,4.62,24.0,23.0,190.5
320,Keith Williams,OG,318.0,5.28,24.5,93.0,8.42,5.03,0.0,196.0,193.04
328,Stefen Wisniewski,C,313.0,5.29,28.5,100.0,7.51,4.63,31.0,48.0,190.5
334,Lee Ziemba,OT,317.0,5.5,29.0,95.0,7.74,4.65,3.0,244.0,198.12
1,Mike Adams,OT,323.0,5.28,28.5,100.0,7.94,4.95,26.0,56.0,200.66
5,Jeff Allen,OT,307.0,5.17,27.5,102.0,8.01,4.9,21.0,44.0,193.04
8,Justin Anderson,OT,335.0,5.24,27.0,101.0,8.04,4.99,0.0,208.0,193.04
16,Kelvin Beachum,OG,303.0,5.38,28.5,101.0,7.79,4.8,26.0,248.0,190.5
21,Tony Bergstrom,OT,313.0,5.19,29.5,101.0,7.95,4.84,6.0,95.0,195.58
24,Philip Blake,C,311.0,5.17,29.5,105.0,7.86,4.65,0.0,108.0,190.5
55,Tom Compton,OT,314.0,5.01,30.0,108.0,7.59,4.6,8.0,193.0,195.58
71,Andrew Datko,OT,315.0,5.19,29.5,100.0,7.71,4.54,0.0,241.0,198.12
75,David DeCastro,OG,316.0,5.32,29.5,98.0,7.3,4.56,42.0,24.0,195.58
98,Adam Gettis,OG,293.0,4.9,31.5,112.0,7.99,4.65,1.0,141.0,187.96
102,Cordy Glenn,OT,345.0,5.08,23.5,93.0,8.13,5.0,39.0,41.0,198.12
129,Lamar Holmes,OT,323.0,5.29,27.0,104.0,7.74,4.8,22.0,91.0,195.58
157,Marcel Jones,OT,320.0,5.57,27.5,95.0,8.03,5.12,0.0,234.0,198.12
161,Ben Jones,C,303.0,5.35,30.5,105.0,7.95,4.74,26.0,99.0,190.5
167,Senio Kelemete,OG,307.0,5.39,25.0,101.0,7.77,4.58,16.0,151.0,193.04
174,Josh LeRibeus,OG,312.0,5.31,26.0,96.0,7.64,4.65,10.0,71.0,190.5
192,Bobby Massie,OT,316.0,5.18,27.5,103.0,7.7,4.95,30.0,112.0,198.12
207,Ryan Miller,OG,321.0,5.16,28.0,100.0,7.72,4.78,2.0,160.0,200.66
216,Brandon Mosley,OT,314.0,5.14,27.0,103.0,7.43,4.78,4.0,131.0,198.12
223,Kelechi Osemele,OT,333.0,5.22,26.5,104.0,7.91,4.87,36.0,60.0,195.58
239,Nate Potter,OT,303.0,5.26,28.5,100.0,7.49,4.67,6.0,221.0,198.12
252,Riley Reiff,OT,313.0,5.16,26.5,98.0,7.87,4.75,39.0,23.0,198.12
267,Zebrie Sanders,OT,320.0,5.33,27.0,100.0,8.15,4.99,0.0,144.0,198.12
270,Mitchell Schwartz,OT,318.0,5.38,26.5,89.0,7.86,4.87,39.0,37.0,195.58
274,Amini Silatolu,OG,311.0,5.33,31.5,107.0,7.95,4.87,16.0,40.0,193.04
281,Donald Stephenson,OT,312.0,4.94,35.5,114.0,7.52,4.78,17.0,74.0,195.58
295,Andrew Tiller,OG,324.0,5.44,23.0,85.0,7.92,4.8,12.0,179.0,193.04
309,Brandon Washington,OG,320.0,5.14,25.0,101.0,8.22,4.87,0.0,200.0,190.5
310,Rokevious Watkins,OG,338.0,5.29,27.0,102.0,7.87,4.9,3.0,150.0,193.04
328,Kevin Zeitler,OG,314.0,5.32,29.0,101.0,7.77,4.61,33.0,27.0,193.04
0,Oday Aboushi,OT,308.0,5.41,23.5,100.0,7.92,4.84,11.0,141.0,195.58
11,Terron Armstead,OT,306.0,4.71,34.5,112.0,7.62,4.72,32.0,75.0,195.58
13,Jeff Baca,OG,302.0,5.03,26.5,100.0,7.26,4.44,0.0,196.0,190.5
16,David Bakhtiari,OT,299.0,5.18,25.5,101.0,7.7,4.74,57.0,109.0,193.04
30,Travis Bond,OG,329.0,5.27,22.5,98.0,7.85,4.96,0.0,214.0,198.12
54,Jonathan Cooper,OG,311.0,5.07,27.0,108.0,7.78,4.84,15.0,7.0,187.96
77,Eric Fisher,OT,306.0,5.05,28.5,116.0,7.59,4.44,40.0,1.0,200.66
82,Reid Fragel,OT,308.0,5.14,30.0,113.0,7.62,4.68,0.0,240.0,203.2
84,Travis Frederick,C,312.0,5.58,28.5,97.0,7.81,4.76,50.0,31.0,193.04
90,Garrett Gilkey,OT,318.0,5.29,30.0,108.0,7.65,4.75,6.0,227.0,198.12
110,Tanner Hawkinson,OT,298.0,5.07,28.5,112.0,7.52,4.51,0.0,156.0,195.58
114,Eric Herman,OG,320.0,5.25,28.0,95.0,7.99,5.09,0.0,225.0,193.04
137,Luke Joeckel,OT,306.0,5.3,28.5,106.0,7.4,4.68,21.0,2.0,198.12
138,T.J. Johnson,C,310.0,5.33,25.5,96.0,7.83,4.74,8.0,251.0,193.04
141,Lane Johnson,OT,303.0,4.72,34.0,118.0,7.31,4.52,41.0,4.0,198.12
163,Edmund Kugbila,OG,317.0,5.13,22.5,105.0,7.72,4.65,0.0,108.0,193.04
174,Kyle Long,OG,313.0,4.91,28.0,107.0,7.83,4.63,39.0,20.0,198.12
202,Jordan Mills,OT,316.0,5.37,28.5,101.0,8.1,4.88,38.0,163.0,195.58
217,Vinston Painter,OT,306.0,4.95,30.5,97.0,7.71,4.56,0.0,173.0,193.04
226,Justin Pugh,OT,307.0,5.12,28.5,103.0,7.45,4.63,29.0,19.0,193.04
227,David Quessenberry,OT,302.0,5.08,29.5,112.0,7.49,4.45,8.0,176.0,195.58
247,Brian Schwenke,C,314.0,4.99,26.5,108.0,7.31,4.74,14.0,107.0,190.5
292,J.C. Tretter,OG,307.0,5.09,29.5,109.0,7.48,4.69,19.0,122.0,193.04
298,Ricky Wagner,OT,308.0,5.17,31.5,101.0,7.94,4.91,33.0,168.0,198.12
300,Larry Warford,OG,332.0,5.58,22.5,96.0,7.78,5.1,35.0,65.0,190.5
303,Earl Watford,OG,300.0,5.06,30.0,107.0,7.77,5.0,13.0,116.0,190.5
304,Menelik Watson,OT,310.0,5.29,24.5,103.0,8.31,5.01,20.0,42.0,195.58
18,Joel Bitonio,OG,302.0,4.92,32.0,114.0,7.37,4.44,25.0,35.0,193.04
21,Russell Bodine,OG,310.0,5.18,29.0,109.0,8.26,4.66,31.0,111.0,190.5
32,Justin Britt,OT,325.0,5.19,27.5,100.0,8.14,4.69,40.0,64.0,198.12
74,Dakota Dozier,OG,313.0,5.42,24.0,101.0,8.14,4.89,4.0,137.0,193.04
80,Kadeem Edwards,OG,313.0,5.25,27.0,99.0,7.95,4.82,0.0,143.0,193.04
94,Cameron Fleming,OT,323.0,5.28,23.5,97.0,8.24,5.0,15.0,140.0,195.58
103,Zach Fulton,OG,316.0,5.16,24.5,98.0,7.87,5.16,29.0,193.0,195.58
120,Jon Halapio,OG,323.0,5.34,21.5,100.0,8.26,4.83,20.0,179.0,190.5
126,Seantrel Henderson,OT,331.0,5.04,24.0,95.0,8.15,4.77,15.0,237.0,200.66
143,Gabe Jackson,OG,336.0,5.34,29.0,108.0,8.25,4.78,29.0,81.0,190.5
148,Ja'Wuan James,OT,311.0,5.26,29.0,103.0,7.42,4.56,31.0,19.0,198.12
155,Wesley Johnson,C,297.0,5.11,29.0,111.0,7.4,4.64,4.0,173.0,195.58
171,Cyrus Kouandjio,OT,322.0,5.59,27.5,96.0,7.71,4.84,7.0,44.0,200.66
179,Charles Leno,OG,303.0,5.25,29.0,108.0,7.57,4.4,34.0,246.0,193.04
182,Taylor Lewan,OT,309.0,4.87,30.5,117.0,7.39,4.49,42.0,11.0,200.66
200,Zack Martin,OG,308.0,5.22,28.0,106.0,7.65,4.59,57.0,16.0,193.04
207,Jake Matthews,OT,308.0,5.07,30.5,105.0,7.34,4.47,52.0,6.0,195.58
215,Jack Mewhort,OT,309.0,5.37,26.0,101.0,7.79,4.64,44.0,59.0,198.12
223,Morgan Moses,OT,314.0,5.35,21.5,106.0,7.93,4.95,36.0,66.0,198.12
237,Matt Paradis,C,306.0,5.34,26.0,103.0,7.6,4.46,22.0,207.0,190.5
258,Cyril Richardson,OG,329.0,5.36,25.5,91.0,7.7,4.83,4.0,153.0,195.58
260,Weston Richburg,C,298.0,5.1,25.5,106.0,7.93,4.63,27.0,43.0,190.5
262,Greg Robinson,OT,332.0,4.92,28.5,113.0,7.8,4.86,24.0,2.0,195.58
271,Michael Schofield,OT,301.0,5.01,24.0,93.0,7.62,4.57,23.0,95.0,198.12
295,Xavier Su'a-Filo,OG,307.0,5.04,25.0,102.0,7.6,4.44,20.0,33.0,193.04
298,Travis Swanson,C,312.0,5.28,26.0,95.0,7.73,4.65,26.0,76.0,195.58
300,Brandon Thomas,OG,317.0,5.09,29.0,98.0,8.13,4.83,0.0,100.0,190.5
310,Billy Turner,OT,315.0,5.16,28.0,108.0,7.92,4.71,7.0,67.0,195.58
315,John Urschel,OG,313.0,5.31,29.0,102.0,7.55,4.47,14.0,175.0,190.5
337,David Yankey,OG,315.0,5.48,28.5,103.0,7.81,4.86,0.0,145.0,198.12
30,Trenton Brown,OG,355.0,5.21,23.5,97.0,8.23,4.78,31.0,244.0,203.2
51,T.J. Clemmings,OT,309.0,5.14,32.5,111.0,7.68,4.54,34.0,110.0,195.58
87,Andrew Donnal,OT,313.0,5.31,32.0,101.0,7.84,4.77,3.0,119.0,198.12
90,Jamil Douglas,OG,304.0,5.25,29.0,99.0,7.99,4.75,14.0,114.0,193.04
98,Cameron Erving,C,313.0,5.15,30.5,112.0,7.48,4.63,22.0,19.0,195.58
114,Andy Gallik,C,306.0,5.5,27.0,96.0,7.66,4.58,8.0,208.0,187.96
119,Mark Glowinski,OG,307.0,5.2,29.5,113.0,7.56,4.58,21.0,134.0,193.04
128,Chaz Green,OT,314.0,5.16,29.5,106.0,8.0,4.7,14.0,91.0,195.58
149,Rob Havenstein,OT,321.0,5.46,28.5,96.0,8.28,4.87,35.0,57.0,200.66
162,D.J. Humphries,OT,307.0,5.12,31.0,104.0,7.87,4.64,30.0,24.0,195.58
205,Ali Marpet,OG,307.0,4.98,30.5,108.0,7.33,4.47,33.0,61.0,193.04
216,John Miller,OG,303.0,5.33,27.0,104.0,8.2,4.75,25.0,81.0,187.96
219,Mitch Morse,OG,305.0,5.14,31.0,112.0,7.6,4.5,30.0,49.0,195.58
235,Andrus Peat,OT,313.0,5.18,31.0,105.0,8.01,4.62,38.0,13.0,200.66
245,Jeremiah Poutasi,OG,335.0,5.32,26.5,95.0,8.09,4.89,9.0,66.0,195.58
266,Ty Sambrailo,OT,311.0,5.36,29.0,97.0,7.54,4.58,9.0,59.0,198.12
