,Player,Pos,Wt,40yd,Vertical,Broad Jump,3Cone,Shuttle,5AV,Pick,Height (cm)
253,Sione Pouha,DT,325.0,5.02,32.5,107.0,7.83,4.44,37.0,88.0,190.5
274,Matt Roth,DE,278.0,4.81,32.0,112.0,7.65,4.36,18.0,46.0,193.04
285,Darrell Shropshire,DT,301.0,4.87,34.0,116.0,7.54,4.31,4.0,241.0,187.96
308,Jimmy Verdon,DE,280.0,5.02,29.5,105.0,7.89,4.53,0.0,232.0,190.5
309,Kevin Vickerson,DT,310.0,5.0,32.5,103.0,7.78,4.64,10.0,216.0,195.58
0,Titus Adams,DT,306.0,5.07,30.5,103.0,7.49,4.54,0.0,220.0,190.5
47,Barry Cofield,DT,304.0,4.95,34.0,105.0,7.43,4.35,33.0,124.0,193.04
68,Dusty Dvoracek,DT,306.0,5.01,34.0,110.0,7.62,4.35,12.0,73.0,190.5
81,Kedric Golston,DT,300.0,4.88,33.0,111.0,7.6,4.45,23.0,196.0,193.04
102,Jason Hatcher,DE,284.0,4.82,35.5,113.0,7.67,4.49,7.0,92.0,198.12
131,Julian Jenkins,DE,277.0,5.03,34.5,110.0,7.11,4.23,2.0,156.0,193.04
159,Jonathan Lewis,DT,309.0,4.97,33.5,111.0,7.4,4.4,0.0,177.0,185.42000000000002
181,John McCargo,DT,302.0,5.15,30.5,110.0,7.79,4.48,3.0,26.0,185.42000000000002
206,Haloti Ngata,DT,338.0,5.13,31.5,110.0,7.95,4.65,60.0,12.0,193.04
218,Babatunde Oshinowo,DT,304.0,5.27,32.0,105.0,7.87,4.54,0.0,181.0,187.96
222,Domata Peko,DT,307.0,5.27,28.5,103.0,7.69,4.49,28.0,123.0,190.5
273,Montavious Stanley,DT,313.0,5.12,29.0,106.0,8.06,4.6,10.0,182.0,187.96
302,Gabe Watson,DT,339.0,5.27,25.0,96.0,8.28,4.8,13.0,107.0,190.5
322,Mario Williams,DE,295.0,4.7,40.5,120.0,7.19,4.36,41.0,1.0,200.66
327,Rodrique Wright,DT,300.0,5.08,32.0,110.0,7.84,4.51,8.0,226.0,195.58
