,Player,Pos,Wt,40yd,Vertical,Broad Jump,3Cone,Shuttle,5AV,Pick,Height (cm)
172,Derrick Johnson,OLB,242.0,4.52,37.5,120.0,7.2,3.87,31.0,15.0,190.5
248,Kenneth Pettway,OLB,236.0,4.69,32.5,114.0,7.29,4.31,8.0,227.0,190.5
277,Barrett Ruud,ILB,241.0,4.75,34.5,112.0,7.22,3.94,32.0,36.0,187.96
281,Adam Seward,ILB,248.0,4.6,36.5,120.0,7.16,4.11,4.0,149.0,187.96
298,Lofa Tatupu,ILB,238.0,4.83,35.0,113.0,7.31,4.16,45.0,45.0,182.88
311,Rian Wallace,OLB,241.0,4.73,35.5,112.0,7.45,3.94,4.0,166.0,187.96
319,Jonathan Welsh,OLB,244.0,4.61,40.5,130.0,7.83,4.22,0.0,148.0,190.5
6,Jon Alston,OLB,223.0,4.5,40.0,132.0,6.9,4.13,12.0,77.0,185.42000000000002
9,James Anderson,OLB,229.0,4.59,41.0,121.0,6.67,4.07,17.0,88.0,190.5
64,Tim Dobbins,ILB,246.0,4.59,35.5,110.0,7.25,4.39,15.0,151.0,185.42000000000002
70,Keith Ellison,OLB,235.0,4.76,32.5,115.0,7.22,4.16,20.0,178.0,185.42000000000002
77,Omar Gaither,OLB,234.0,4.78,37.0,116.0,7.31,4.28,23.0,168.0,185.42000000000002
86,Chad Greenway,OLB,242.0,4.76,33.5,117.0,7.0,4.22,42.0,17.0,187.96
113,Abdul Hodge,ILB,236.0,4.76,31.0,108.0,7.09,4.3,4.0,67.0,182.88
116,Thomas Howard,OLB,239.0,4.42,39.0,124.0,6.96,4.28,29.0,38.0,190.5
136,Brandon Johnson,OLB,228.0,4.44,37.0,118.0,7.17,4.34,11.0,142.0,195.58
142,Freddy Keiaho,ILB,224.0,4.68,36.0,113.0,7.01,4.12,32.0,94.0,154.94
154,Manny Lawson,OLB,241.0,4.43,39.5,124.0,6.9,4.18,27.0,22.0,195.58
183,Tim McGarigle,ILB,242.0,4.73,38.0,118.0,7.09,4.07,2.0,221.0,185.42000000000002
201,Terna Nande,OLB,232.0,4.51,39.0,124.0,6.97,4.11,0.0,137.0,182.88
250,DeMeco Ryans,OLB,236.0,4.65,39.0,129.0,7.19,4.17,36.0,33.0,185.42000000000002
253,Anthony Schlegel,ILB,250.0,4.88,32.0,111.0,7.41,4.38,6.0,76.0,182.88
261,Ernie Sims,OLB,231.0,4.5,41.0,125.0,7.31,4.22,27.0,9.0,154.94
291,Stephen Tulloch,ILB,241.0,4.84,33.5,113.0,7.19,4.15,26.0,116.0,154.94
315,Gerris Wilkinson,ILB,233.0,4.66,39.0,122.0,7.21,4.17,7.0,96.0,190.5
319,Jamar Williams,OLB,236.0,4.59,37.0,120.0,7.03,4.29,5.0,120.0,182.88
5,Rufus Alexander,OLB,228.0,4.79,35.0,117.0,7.06,4.3,0.0,176.0,185.42000000000002
22,Antwan Barnes,OLB,240.0,4.43,35.0,122.0,7.29,4.32,4.0,134.0,185.42000000000002
32,Quincy Black,OLB,240.0,4.42,41.5,124.0,6.86,4.34,18.0,68.0,187.96
52,Prescott Burgess,OLB,240.0,4.82,32.5,106.0,7.01,4.31,6.0,207.0,190.5
79,Buster Davis,ILB,239.0,4.64,31.0,104.0,7.28,4.37,6.0,69.0,175.26
83,Zak DeOssie,ILB,250.0,4.58,34.5,122.0,6.89,4.22,10.0,116.0,195.58
85,Justin Durant,ILB,230.0,4.51,36.0,121.0,6.77,4.09,26.0,48.0,185.42000000000002
121,David Harris,ILB,243.0,4.59,33.0,107.0,7.25,4.29,54.0,47.0,187.96
189,Marvin Mitchell,ILB,249.0,4.87,32.0,108.0,7.29,4.25,8.0,220.0,190.5
204,Stephen Nicholas,OLB,232.0,4.64,33.5,110.0,7.29,4.45,19.0,109.0,185.42000000000002
228,Paul Posluszny,OLB,238.0,4.7,37.0,116.0,6.94,4.2,32.0,34.0,187.96
260,Tim Shaw,OLB,236.0,4.51,36.5,116.0,7.01,4.12,6.0,164.0,185.42000000000002
266,Kelvin Smith,ILB,240.0,4.8,32.0,110.0,7.19,4.42,0.0,219.0,187.96
296,Lawrence Timmons,OLB,234.0,4.66,35.0,123.0,6.89,4.32,34.0,15.0,185.42000000000002
316,Patrick Willis,ILB,242.0,4.51,39.0,119.0,7.23,4.46,78.0,11.0,185.42000000000002
23,Kroy Biermann,OLB,246.0,4.85,31.5,112.0,7.08,4.56,20.0,154.0,190.5
31,Alvin Bowen,OLB,223.0,4.79,34.0,119.0,7.21,4.3,0.0,147.0,185.42000000000002
71,Shawn Crable,OLB,245.0,4.61,28.0,111.0,7.29,4.55,0.0,78.0,195.58
83,Jordon Dizon,OLB,229.0,4.71,30.5,118.0,7.01,4.35,4.0,45.0,182.88
117,Jonathan Goff,ILB,245.0,4.63,31.5,118.0,6.86,4.26,18.0,165.0,187.96
120,Larry Grant,OLB,235.0,4.76,31.5,113.0,6.77,4.22,10.0,214.0,185.42000000000002
139,Geno Hayes,OLB,226.0,4.64,26.5,116.0,7.22,4.48,23.0,175.0,185.42000000000002
175,Stanford Keglar,OLB,239.0,4.58,34.0,126.0,6.7,3.98,8.0,134.0,187.96
176,Bryan Kehl,OLB,242.0,4.67,34.0,119.0,6.88,4.23,8.0,123.0,187.96
184,Spencer Larsen,ILB,238.0,4.85,28.5,113.0,7.68,4.55,3.0,183.0,187.96
191,Curtis Lofton,ILB,246.0,4.79,24.5,105.0,7.69,4.56,39.0,37.0,182.88
199,Jerod Mayo,ILB,242.0,4.54,32.0,114.0,7.31,4.29,46.0,10.0,185.42000000000002
283,Bryan Smith,OLB,231.0,4.74,32.5,120.0,7.22,4.4,2.0,80.0,187.96
322,Philip Wheeler,ILB,248.0,4.76,31.0,118.0,7.11,4.29,19.0,93.0,187.96
3,Stanley Arnoux,ILB,232.0,4.56,31.5,121.0,7.22,4.39,2.0,118.0,182.88
25,Jasper Brinkley,ILB,252.0,4.67,35.5,114.0,7.03,4.32,18.0,150.0,187.96
67,Brian Cushing,OLB,243.0,4.64,35.0,120.0,6.84,4.22,36.0,15.0,190.5
93,Moise Fokou,OLB,233.0,4.65,31.0,121.0,7.09,4.28,22.0,230.0,185.42000000000002
121,Nic Harris,OLB,234.0,4.83,31.5,109.0,7.05,4.37,15.0,147.0,187.96
171,James Laurinaitis,ILB,244.0,4.72,33.0,115.0,6.93,4.24,43.0,35.0,187.96
193,Clay Matthews,OLB,240.0,4.58,35.5,121.0,6.9,4.18,56.0,26.0,190.5
204,Scott McKillop,ILB,244.0,4.7,35.5,119.0,7.0,4.39,4.0,146.0,185.42000000000002
206,Gerald McRath,ILB,231.0,4.49,34.0,123.0,7.24,4.35,14.0,130.0,187.96
7,Pat Angerer,ILB,235.0,4.71,35.0,110.0,7.04,4.29,36.0,63.0,182.88
28,Navorro Bowman,OLB,242.0,4.7,29.5,115.0,6.91,4.59,52.0,91.0,182.88
57,Jamar Chaney,ILB,242.0,4.54,39.0,124.0,6.9,4.29,13.0,220.0,185.42000000000002
67,Kavell Conner,OLB,242.0,4.59,33.5,110.0,7.36,4.6,20.0,240.0,182.88
76,Dexter Davis,OLB,244.0,4.62,35.0,109.0,7.08,4.3,2.0,236.0,185.42000000000002
