,Player,Pos,Wt,40yd,Vertical,Broad Jump,3Cone,Shuttle,5AV,Pick,Height (cm)
31,Donald Brown,RB,210.0,4.46,41.5,125.0,6.93,4.1,23.0,27.0,152.4
33,Andre Brown,RB,224.0,4.37,37.0,115.0,7.35,4.33,7.0,129.0,182.88
56,Glen Coffee,RB,209.0,4.5,36.0,121.0,7.35,4.51,4.0,74.0,182.88
73,James Davis,RB,218.0,4.45,32.0,109.0,7.15,4.37,3.0,195.0,154.94
110,Mike Goodson,RB,208.0,4.43,39.5,118.0,6.89,4.22,7.0,111.0,182.88
113,Shonn Greene,RB,227.0,4.55,37.0,121.0,7.1,4.4,23.0,65.0,152.4
148,Rashad Jennings,RB,231.0,4.52,34.0,120.0,6.86,4.2,22.0,250.0,185.42000000000002
219,Knowshon Moreno,RB,217.0,4.5,35.5,115.0,6.84,4.27,34.0,12.0,154.94
231,Chris Ogbonnaya,RB,220.0,4.57,35.0,111.0,6.85,4.29,8.0,211.0,182.88
246,Cedric Peerman,RB,216.0,4.34,40.0,117.0,6.99,4.29,3.0,185.0,175.26
262,Javon Ringer,RB,205.0,4.5,34.0,115.0,6.87,4.11,8.0,173.0,175.26
270,Bernard Scott,RB,200.0,4.44,36.0,125.0,6.82,4.08,9.0,209.0,152.4
22,Jahvid Best,RB,199.0,4.34,32.5,113.0,6.75,4.17,26.0,30.0,152.4
84,Anthony Dixon,RB,233.0,4.67,33.0,121.0,7.09,4.49,7.0,173.0,185.42000000000002
90,Jonathan Dwyer,RB,229.0,4.64,33.0,107.0,7.56,4.67,8.0,188.0,154.94
103,Toby Gerhart,RB,231.0,4.5,38.0,118.0,6.94,4.25,17.0,51.0,182.88
122,Montario Hardesty,RB,225.0,4.49,41.0,124.0,6.87,4.14,8.0,59.0,182.88
176,Ryan Mathews,RB,218.0,4.37,36.0,121.0,7.0,4.33,39.0,12.0,182.88
267,James Starks,RB,218.0,4.5,36.0,119.0,6.89,4.23,20.0,193.0,187.96
273,Ben Tate,RB,220.0,4.34,40.5,124.0,6.91,4.12,17.0,58.0,154.94
7,Anthony Allen,RB,228.0,4.56,41.5,120.0,6.79,4.06,2.0,225.0,185.42000000000002
29,Allen Bradford,RB,242.0,4.53,29.0,113.0,6.97,4.39,2.0,187.0,154.94
48,Delone Carter,RB,222.0,4.54,37.0,120.0,6.92,4.07,9.0,119.0,175.26
105,Alex Green,RB,225.0,4.45,34.0,114.0,6.91,4.15,15.0,96.0,182.88
114,Jamie Harper,RB,233.0,4.53,36.5,120.0,7.16,4.39,0.0,130.0,154.94
118,Roy Helu,RB,219.0,4.4,36.5,119.0,6.67,4.01,14.0,105.0,154.94
136,Kendall Hunter,RB,199.0,4.46,35.0,122.0,6.74,4.21,12.0,115.0,170.18
142,Mark Ingram,RB,215.0,4.62,31.5,118.0,7.13,4.62,27.0,28.0,175.26
173,Mikel Leshoure,RB,227.0,4.56,38.0,122.0,6.82,4.4,10.0,57.0,182.88
175,Dion Lewis,RB,193.0,4.56,34.5,112.0,6.9,4.18,22.0,149.0,170.18
210,DeMarco Murray,RB,213.0,4.37,34.5,124.0,7.28,4.18,51.0,71.0,182.88
240,Stevan Ridley,RB,225.0,4.65,36.0,118.0,6.78,4.21,25.0,73.0,154.94
242,Jacquizz Rodgers,RB,196.0,4.59,33.0,113.0,7.31,4.26,18.0,145.0,167.64000000000001
247,Evan Royster,RB,212.0,4.65,34.0,113.0,7.07,4.18,8.0,177.0,182.88
262,Da'Rel Scott,RB,211.0,4.4,34.0,117.0,7.15,4.2,2.0,221.0,154.94
300,Jordan Todman,RB,203.0,4.4,38.0,126.0,7.24,4.18,4.0,183.0,175.26
307,Shane Vereen,RB,210.0,4.49,34.0,115.0,6.95,4.28,23.0,56.0,152.4
312,Johnny White,RB,209.0,4.5,32.5,117.0,7.07,4.31,0.0,133.0,152.4
323,Ryan Williams,RB,212.0,4.59,40.0,123.0,6.96,4.18,3.0,38.0,175.26
12,Edwin Baker,RB,204.0,4.44,35.0,111.0,7.27,4.31,3.0,250.0,172.72
14,Vick Ballard,RB,219.0,4.59,33.0,115.0,7.03,4.19,10.0,170.0,152.4
96,Terrance Ganaway,RB,239.0,4.61,37.5,119.0,7.15,4.25,0.0,202.0,154.94
124,Dan Herron,RB,213.0,4.57,35.0,117.0,6.97,4.04,5.0,191.0,152.4
143,LaMichael James,RB,194.0,4.35,35.0,123.0,6.88,4.12,2.0,61.0,172.72
190,Doug Martin,RB,223.0,4.46,36.0,120.0,6.79,4.16,35.0,31.0,175.26
215,Alfred Morris,RB,219.0,4.63,35.5,117.0,7.01,4.19,32.0,173.0,152.4
229,Isaiah Pead,RB,197.0,4.39,33.0,116.0,6.95,4.32,1.0,50.0,152.4
233,Bernard Pierce,RB,218.0,4.45,36.5,123.0,7.07,4.28,20.0,84.0,182.88
248,Chris Rainey,RB,180.0,4.36,36.5,120.0,6.5,3.93,3.0,159.0,172.72
300,Robert Turbin,RB,222.0,4.42,36.0,122.0,7.16,4.31,13.0,106.0,152.4
318,David Wilson,RB,206.0,4.38,41.0,132.0,7.09,4.12,10.0,32.0,152.4
17,Montee Ball,RB,214.0,4.66,32.0,118.0,6.88,4.4,16.0,58.0,152.4
21,Kenjon Barner,RB,196.0,4.52,35.5,122.0,6.87,4.2,3.0,182.0,175.26
27,Le'Veon Bell,RB,230.0,4.6,31.5,118.0,6.75,4.24,81751515.0,48.0,185.42000000000002
28,Giovani Bernard,RB,202.0,4.53,33.5,122.0,6.91,4.12,37.0,37.0,172.72
44,Rex Burkhead,RB,214.0,4.73,39.0,125.0,6.85,4.09,10.0,190.0,152.4
60,Knile Davis,RB,227.0,4.37,33.5,121.0,6.96,4.38,10.0,96.0,154.94
83,Johnathan Franklin,RB,205.0,4.49,31.5,115.0,6.89,4.31,2.0,125.0,152.4
91,Mike Gillislee,RB,208.0,4.55,30.5,119.0,7.12,4.4,10.0,164.0,154.94
198,Christine Michael,RB,220.0,4.54,43.0,125.0,6.69,4.02,6.0,62.0,152.4
265,Zac Stacy,RB,216.0,4.55,33.0,122.0,6.7,4.17,32.0,160.0,172.72
282,Stepfan Taylor,RB,214.0,4.76,30.0,110.0,7.13,4.5,6.0,140.0,175.26
317,Kerwynn Williams,RB,195.0,4.48,35.0,118.0,7.15,4.15,2.0,230.0,172.72
20,Alfred Blue,RB,223.0,4.63,32.0,121.0,7.15,4.5,19.0,181.0,187.96
45,Ka'Deem Carey,RB,207.0,4.69,32.5,115.0,7.08,4.38,6.0,117.0,175.26
100,Devonta Freeman,RB,206.0,4.58,31.5,118.0,7.11,4.26,40.0,103.0,172.72
104,Tyler Gaffney,RB,220.0,4.49,36.5,116.0,6.78,4.18,0.0,204.0,154.94
213,Jerick McKinnon,RB,209.0,4.41,40.5,132.0,6.83,4.12,25.0,96.0,175.26
267,Bishop Sankey,RB,209.0,4.49,35.5,126.0,6.75,4.0,12.0,54.0,175.26
277,Charles Sims,RB,214.0,4.48,37.5,126.0,7.16,4.3,28.0,69.0,182.88
299,Lorenzo Taliaferro,RB,229.0,4.58,33.0,118.0,6.88,4.22,6.0,138.0,182.88
331,James White,RB,204.0,4.57,32.0,114.0,7.05,4.2,29.0,130.0,175.26
332,Andre Williams,RB,230.0,4.56,38.0,129.0,7.27,4.06,14.0,113.0,154.94
0,Ameer Abdullah,RB,205.0,4.6,42.5,130.0,6.79,3.95,11.0,54.0,175.26
2,Jay Ajayi,RB,221.0,4.57,39.0,121.0,7.1,4.1,26.0,149.0,182.88
5,Javorius Allen,RB,221.0,4.53,35.5,121.0,6.96,4.28,14.0,125.0,182.88
73,Mike Davis,RB,217.0,4.61,34.0,116.0,7.0,4.18,10.0,126.0,175.26
124,Melvin Gordon,RB,215.0,4.52,35.0,126.0,7.04,4.07,42.0,15.0,185.42000000000002
176,David Johnson,RB,224.0,4.5,41.5,127.0,6.82,4.27,36.0,86.0,185.42000000000002
188,Jeremy Langford,RB,208.0,4.42,34.5,118.0,7.22,4.32,24.0,106.0,182.88
315,Karlos Williams,RB,230.0,4.48,33.5,117.0,7.16,4.46,8.0,155.0,185.42000000000002
326,T.J. Yeldon,RB,226.0,4.61,36.0,117.0,7.19,4.22,21.0,36.0,185.42000000000002
81,Kenneth Dixon,RB,215.0,4.56,37.5,121.0,6.97,4.28,10.0,134.0,152.4
86,Kenyan Drake,RB,210.0,4.45,34.5,123.0,7.04,4.21,29.0,73.0,185.42000000000002
129,Derrick Henry,RB,247.0,4.54,37.0,130.0,7.2,4.38,46.0,45.0,190.5
178,Daniel Lasco,RB,209.0,4.46,41.5,135.0,7.22,4.26,0.0,237.0,182.88
283,Wendell Smallwood,RB,208.0,4.47,33.5,120.0,6.83,4.28,10.0,153.0,152.4
318,Deandre Washington,RB,204.0,4.49,34.5,116.0,7.03,4.2,13.0,143.0,172.72
