,Player,Pos,Wt,40yd,Vertical,Broad Jump,3Cone,Shuttle,5AV,Pick,Height (cm)
179,Dustin Keller,TE,242.0,4.53,38.0,131.0,6.88,4.14,24.0,30.0,187.96
268,Tom Santi,TE,250.0,4.8,36.0,121.0,7.08,4.27,4.0,196.0,190.5
293,Craig Stevens,TE,254.0,4.59,27.5,114.0,7.07,4.31,4.0,85.0,190.5
302,Jacob Tamme,TE,236.0,4.58,30.0,109.0,6.99,4.27,12.0,127.0,190.5
116,Dan Gronkowski,TE,255.0,4.79,33.0,122.0,6.92,4.26,1.0,255.0,195.58
130,Anthony Hill,TE,262.0,4.84,30.5,107.0,7.31,4.56,0.0,122.0,195.58
220,Cameron Morrah,TE,244.0,4.61,32.5,115.0,6.99,4.36,4.0,248.0,190.5
227,Shawn Nelson,TE,240.0,4.52,33.0,115.0,6.96,4.46,2.0,121.0,195.58
244,Bear Pascoe,TE,251.0,4.89,26.5,107.0,7.65,4.55,3.0,184.0,195.58
248,Brandon Pettigrew,TE,263.0,4.8,33.0,118.0,7.12,4.37,22.0,20.0,195.58
250,John Phillips,TE,251.0,4.78,33.5,112.0,6.84,4.27,2.0,208.0,195.58
256,Richard Quinn,TE,264.0,4.88,32.5,119.0,7.5,4.62,0.0,64.0,193.04
81,Dorin Dickerson,TE,226.0,4.4,43.5,125.0,6.96,4.3,3.0,227.0,185.42000000000002
82,Ed Dickson,TE,249.0,4.59,34.0,115.0,7.32,4.59,11.0,70.0,193.04
109,Jimmy Graham,TE,260.0,4.53,38.5,120.0,6.9,4.45,43.0,95.0,198.12
110,Garrett Graham,TE,243.0,4.71,34.5,112.0,7.09,4.35,7.0,118.0,190.5
114,Jermaine Gresham,TE,261.0,4.66,35.0,113.0,7.07,4.53,24.0,21.0,195.58
186,Anthony McCoy,TE,259.0,4.71,35.5,113.0,6.99,4.57,4.0,185.0,193.04
201,Tony Moeaki,TE,245.0,4.69,34.0,113.0,7.1,4.42,10.0,93.0,190.5
230,Dennis Pitta,TE,245.0,4.68,34.0,113.0,6.72,4.17,12.0,114.0,193.04
41,Jordan Cameron,TE,254.0,4.53,37.5,119.0,6.82,4.03,14.0,102.0,195.58
104,Virgil Green,TE,249.0,4.54,42.5,130.0,6.9,4.4,3.0,204.0,190.5
132,Rob Housler,TE,248.0,4.46,37.0,117.0,6.9,4.21,9.0,69.0,195.58
162,Lance Kendricks,TE,243.0,4.65,34.5,122.0,6.94,4.15,12.0,47.0,190.5
278,Lee Smith,TE,266.0,4.94,29.0,108.0,7.13,4.28,2.0,159.0,198.12
285,Luke Stocker,TE,258.0,4.68,33.0,115.0,7.03,4.4,3.0,104.0,195.58
296,Julius Thomas,TE,246.0,4.64,35.5,111.0,6.96,4.31,17.0,129.0,195.58
317,D.J. Williams,TE,245.0,4.59,33.5,111.0,7.29,4.51,1.0,141.0,187.96
6,Dwayne Allen,TE,255.0,4.85,32.0,110.0,7.12,4.37,12.0,64.0,190.5
81,Michael Egnew,TE,252.0,4.52,36.0,131.0,7.03,4.32,0.0,78.0,195.58
107,Ladarius Green,TE,238.0,4.45,34.5,124.0,7.12,4.47,12.0,110.0,198.12
114,James Hanna,TE,252.0,4.43,36.0,122.0,6.76,4.11,4.0,186.0,193.04
228,David Paulson,TE,246.0,4.79,32.0,110.0,7.18,4.4,3.0,240.0,190.5
56,Justice Cunningham,TE,258.0,4.94,31.5,116.0,7.12,4.45,0.0,254.0,190.5
69,Tyler Eifert,TE,250.0,4.68,35.5,119.0,6.92,4.32,13.0,21.0,195.58
72,Zach Ertz,TE,249.0,4.76,30.5,111.0,7.08,4.47,30.0,35.0,195.58
73,Gavin Escobar,TE,254.0,4.84,32.0,114.0,7.07,4.31,2.0,47.0,198.12
97,Chris Gragg,TE,244.0,4.5,37.5,125.0,7.08,4.51,2.0,222.0,190.5
191,Vance McDonald,TE,267.0,4.69,33.5,119.0,7.08,4.53,8.0,55.0,193.04
238,Mychal Rivera,TE,242.0,4.81,31.0,112.0,7.17,4.43,20.0,184.0,190.5
253,Dion Sims,TE,262.0,4.75,35.0,112.0,7.36,4.52,7.0,106.0,195.58
291,Levine Toilolo,TE,260.0,4.86,31.0,113.0,7.09,4.57,6.0,133.0,203.2
4,Jace Amaro,TE,265.0,4.74,33.0,118.0,7.42,4.3,12.0,49.0,195.58
92,C.J. Fiedorowicz,TE,265.0,4.76,31.5,116.0,7.1,4.26,12.0,65.0,195.58
112,Crockett Gillmore,TE,260.0,4.89,33.5,120.0,7.42,4.44,8.0,99.0,198.12
193,Arthur Lynch,TE,258.0,4.82,29.5,116.0,7.38,4.35,0.0,155.0,195.58
231,Troy Niklas,TE,270.0,4.84,32.0,114.0,7.57,4.55,2.0,52.0,198.12
265,Richard Rodgers,TE,257.0,4.87,31.5,116.0,7.23,4.47,13.0,98.0,193.04
325,Larry Webster,TE,252.0,4.58,36.5,123.0,7.29,4.44,0.0,136.0,198.12
18,Blake Bell,TE,252.0,4.8,33.0,116.0,6.85,4.32,3.0,117.0,198.12
27,Nick Boyle,TE,268.0,5.04,30.5,112.0,7.13,4.23,9.0,171.0,193.04
